Wall time,Step,Value
1619403083.3679664,767600,468.0
1619403208.2599888,768400,430.0
1619403301.5081456,769000,286.0
1619403395.123601,769600,220.0
1619403503.9888418,770300,284.0
1619403535.3453739,770500,288.0
1619403675.5548527,771400,340.0
1619403706.6516035,771600,496.0
1619403722.084811,771700,496.0
1619404018.195634,773600,252.0
1619404065.0371969,773900,262.0
1619404204.9036756,774800,150.0
1619404407.052166,776100,254.0
1619404577.783925,777200,282.0
1619404624.5278115,777500,416.0
1619404780.15869,778500,548.0
1619405029.6123257,780100,436.0
1619405200.869187,781200,340.0
1619405481.322514,783000,554.0
1619405637.2086496,784000,436.0
1619405652.7545803,784100,436.0
1619405730.832985,784600,338.0
1619405746.4007642,784700,466.0
1619405855.427165,785400,596.0
1619405917.5921981,785800,672.0
1619405933.045723,785900,512.0
1619405948.609581,786000,486.0
1619406290.9311576,788200,292.0
1619406306.542266,788300,292.0
1619406368.6600506,788700,272.0
1619406399.7048612,788900,398.0
1619406539.5894063,789800,234.0
1619406601.7676272,790200,342.0
1619406648.6121058,790500,436.0
1619407053.273071,793100,354.0
1619407068.9615812,793200,396.0
1619407209.1792443,794100,280.0
1619407255.807139,794400,224.0
1619407318.174887,794800,382.0
1619407364.63008,795100,402.0
1619407520.4779546,796100,256.0
1619407536.0191562,796200,256.0
1619407551.4613125,796300,258.0
1619407566.9675207,796400,258.0
1619407644.5153284,796900,256.0
1619407737.8383427,797500,250.0
